sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-11-20;106,25;106,50;106,75;106,75;104,50;106,25;105,472;21700;2288740,5;288;
2017-11-17;106,75;107,00;108,50;108,50;106,00;106,75;106,982;32658;3493832;277;
2017-11-16;109,00;109,50;107,25;109,75;105,75;108,50;108,256;23988;2596843,5;254;
2017-11-15;107,00;107,25;108,00;108,25;105,50;107,00;106,366;26924;2863793,5;375;
2017-11-14;107,75;108,00;108,50;108,50;107,00;107,75;108,109;19026;2056883,5;271;
2017-11-13;108,00;108,25;110,25;110,25;106,75;108,25;108,356;38612;4183855;476;
2017-11-10;110,50;111,00;111,00;112,25;110,00;110,75;110,653;16478;1823341,5;186;
2017-11-09;110,50;111,00;112,50;113,25;109,50;111,00;110,742;23438;2595569,5;312;
2017-11-08;112,25;112,75;113,75;114,75;112,25;112,25;113,052;24808;2804594,5;237;
2017-11-07;113,50;113,75;116,00;116,00;112,50;113,75;114,01;27024;3080997;311;
2017-11-06;115,00;115,75;114,00;116,75;114,00;115,75;115,355;35118;4051045,5;262;
2017-11-03;113,75;114,00;115,00;115,00;113,50;114,00;114,009;7104;809919;100;
2017-11-02;113,50;114,25;115,00;115,00;113,00;113,50;113,95;17736;2021011;211;
2017-11-01;113,50;113,75;113,50;114,00;112,00;113,75;112,808;42554;4800442,5;237;
2017-10-31;112,00;112,50;113,25;113,75;111,50;112,50;112,229;15422;1730788,5;248;
2017-10-30;111,75;112,75;112,00;113,25;110,75;112,75;111,75;24134;2696982,5;322;
2017-10-27;112,00;112,25;111,25;113,00;111,25;112,00;112,164;30882;3463855;338;
2017-10-26;111,00;111,50;109,75;111,25;108,25;111,25;109,323;47958;5242900;556;
2017-10-25;108,75;109,25;108,50;109,75;108,00;109,25;108,99;14370;1566183;304;
2017-10-24;108,50;109,25;109,75;109,75;108,00;108,50;108,631;20074;2180662,5;295;
2017-10-23;109,75;110,00;111,75;112,00;109,00;109,75;110,254;47972;5289123,5;390;
2017-10-20;111,75;112,00;112,25;112,75;111,25;111,50;111,964;20458;2290552,5;221;
2017-10-19;112,00;112,25;113,75;113,75;111,75;112,00;112,781;12268;1383598;166;
2017-10-18;113,25;113,75;113,75;114,50;112,50;113,75;113,387;22756;2580230;205;
2017-10-17;113,50;113,75;113,25;113,75;112,50;113,75;113,412;25222;2860478;174;
2017-10-16;113,00;113,25;113,75;113,75;112,25;113,00;113,031;37022;4184626,5;323;
2017-10-13;114,50;114,75;115,50;115,50;114,00;114,50;114,524;9302;1065302,5;135;
2017-10-12;114,25;114,50;115,50;115,50;113,75;114,25;114,528;8764;1003727,5;126;
2017-10-11;114,25;114,75;115,00;115,00;114,00;114,75;114,654;6732;771851;138;
2017-10-10;114,00;115,00;115,25;115,50;113,50;115,00;114,942;18802;2161138,5;161;
2017-10-09;114,75;115,25;112,25;115,25;112,25;115,25;114,449;27728;3173451;223;
2017-10-06;113,00;113,25;113,25;113,75;112,00;113,25;112,829;23078;2603860,5;207;
2017-10-05;113,00;113,25;112,75;113,50;112,00;113,25;112,55;22330;2513242,5;265;
2017-10-04;113,00;113,25;114,50;114,50;112,75;113,25;113,383;17522;1986691,5;245;
2017-10-03;114,00;114,50;115,25;115,50;114,25;114,50;114,792;18810;2159241;222;
2017-10-02;115,00;115,25;115,00;115,50;114,50;115,25;115,018;30824;3545326,5;308;
2017-09-29;114,50;115,00;114,50;115,75;114,25;114,50;115,17;27602;3178930;286;
2017-09-28;114,25;114,75;113,75;115,00;113,00;114,25;113,945;19484;2220097;206;
2017-09-27;113,00;113,25;114,25;114,75;112,75;113,50;113,689;27272;3100523;308;
2017-09-26;113,75;114,25;114,25;114,75;113,25;113,75;114,102;25684;2930588;293;
2017-09-25;113,50;113,75;112,50;114,00;112,50;113,75;113,58;19120;2171653;349;
2017-09-22;111,75;112,25;112,50;113,00;111,50;112,25;112,249;14542;1632329;186;
2017-09-21;112,25;112,75;111,25;112,75;110,50;112,75;111,753;20710;2314404;267;
2017-09-20;110,50;111,50;110,50;111,75;110,00;111,00;110,943;22624;2509965,5;216;
2017-09-19;109,50;110,00;110,00;110,75;109,50;110,00;110,121;18402;2026451,5;186;
2017-09-18;109,50;109,75;107,00;110,00;107,00;109,75;109,177;18526;2022614;226;
2017-09-15;106,50;107,25;107,00;107,25;105,75;107,00;106,683;21542;2298161,5;258;
2017-09-14;106,25;106,50;107,00;107,00;106,00;106,50;106,411;21682;2307203,5;210;
2017-09-13;105,75;106,00;105,25;106,25;105,00;106,00;105,657;18866;1993322,5;221;
2017-09-12;105,25;105,50;104,75;106,00;104,75;105,50;105,479;21570;2275186,5;247;
2017-09-11;104,25;104,75;105,25;106,50;104,00;104,50;105,029;43574;4576546;317;
2017-09-08;104,50;104,75;106,25;106,25;104,25;104,75;104,796;31032;3252016,5;253;
2017-09-07;105,00;105,75;106,50;106,50;104,50;105,75;105,164;12720;1337686,5;226;
2017-09-06;105,25;106,25;106,25;107,50;104,75;106,00;105,684;28582;3020654;356;
2017-09-05;105,75;106,00;104,75;106,00;104,00;106,00;104,92;24728;2594464,5;197;
2017-09-04;104,50;104,75;104,00;105,00;102,50;104,75;104,072;28060;2920254,5;199;
2017-09-01;104,50;105,00;104,75;105,75;103,75;105,00;104,951;26960;2829489;239;
2017-08-31;103,00;103,25;101,25;103,25;101,00;103,25;102,201;18812;1922602;179;
2017-08-30;100,75;101,25;100,75;102,00;100,50;101,25;101,268;17158;1737557;170;
2017-08-29;100,25;100,50;102,00;102,00;98,25;100,50;99,758;55586;5545124;508;
2017-08-28;101,75;102,25;102,25;103,50;101,75;102,25;102,557;15478;1587374,5;265;
2017-08-25;102,00;102,50;102,75;102,75;101,00;102,00;102,099;16068;1640522,5;213;
2017-08-24;101,50;102,00;103,50;104,00;101,50;102,00;102,221;16004;1635945,5;153;
2017-08-23;103,00;103,50;103,50;104,25;102,50;103,50;103,52;15028;1555693;122;
2017-08-22;103,00;103,50;101,50;103,75;101,50;103,50;102,856;13294;1367363;111;
2017-08-21;102,25;102,75;102,50;102,50;102,00;102,50;102,32;20496;2097147,5;145;
2017-08-18;102,00;102,50;103,00;103,00;101,25;102,50;101,813;29098;2962567;220;
2017-08-17;103,00;103,75;105,50;105,50;102,75;103,00;103,967;10722;1114738,5;119;
2017-08-16;105,00;105,50;104,50;105,75;104,25;105,50;105,002;18802;1974248,5;122;
2017-08-15;104,00;104,50;105,25;106,00;104,00;104,25;105,17;16796;1766437;139;
2017-08-14;105,00;105,25;101,25;105,25;101,00;105,00;103,166;31350;3234247;177;
2017-08-11;101,25;101,50;102,75;102,75;100,50;101,25;101,533;32334;3282973;420;
2017-08-10;103,75;104,25;105,00;106,25;103,75;104,00;104,402;14130;1475194;151;
2017-08-09;105,00;105,75;106,25;106,50;104,50;105,00;105,286;15708;1653830;217;
2017-08-08;106,50;107,00;106,00;107,25;105,50;106,50;106,434;11630;1237829;175;
2017-08-07;106,00;106,50;104,50;108,00;104,50;106,00;106,909;58782;6284313;265;
2017-08-04;103,50;104,00;102,25;105,25;101,75;104,00;103,528;16624;1721042,5;249;
2017-08-03;102,00;102,50;105,50;107,50;102,00;102,25;103,132;38120;3931386,5;390;
2017-08-02;104,25;105,00;104,50;107,50;104,25;104,25;105,83;28230;2987587,5;267;
2017-08-01;104,00;104,75;101,00;105,25;101,00;104,00;102,704;24988;2566376;245;
2017-07-31;101,25;101,50;102,00;102,75;101,25;101,25;101,752;15640;1591404;243;
2017-07-28;102,50;102,75;103,50;103,50;101,25;102,25;102,211;21328;2179958;350;
2017-07-27;103,00;103,25;102,50;104,00;102,25;103,50;103,264;6846;706948;184;
2017-07-26;102,50;103,00;104,00;106,50;102,00;102,50;104,053;26314;2738053;456;
2017-07-25;102,50;103,25;101,75;103,50;101,50;103,25;102,341;13662;1398182,5;244;
2017-07-24;101,75;102,25;101,25;103,00;100,75;101,75;101,761;14128;1437672;223;
2017-07-21;101,25;102,00;102,25;103,25;100,00;101,25;101,322;35360;3582737,5;482;
2017-07-20;102,00;102,25;104,00;104,00;101,50;102,00;102,671;23404;2402920;382;
2017-07-19;103,00;103,25;104,25;104,25;102,50;104,00;103,229;17210;1776572;307;
2017-07-18;103,75;104,25;107,00;107,25;103,50;104,25;104,215;50760;5289953;475;
2017-07-17;107,00;107,25;109,00;109,75;107,00;107,00;108,435;28112;3048319,5;193;
2017-07-14;107,75;108,25;107,25;109,50;106,50;107,50;108,123;11636;1258116;132;
2017-07-13;107,25;107,50;108,00;108,25;107,25;107,25;107,729;7252;781249;94;
2017-07-12;108,25;108,75;105,75;109,00;105,75;108,25;108,137;21180;2290347;224;
2017-07-11;105,00;105,50;108,00;108,00;105,00;105,75;106,444;20460;2177835;291;
2017-07-10;106,25;107,50;103,50;107,75;103,00;107,00;104,852;36256;3801525;425;
2017-07-07;101,50;101,75;102,75;104,00;101,50;101,75;102,553;34234;3510785,5;449;
2017-07-06;103,25;103,50;105,75;106,75;103,00;103,25;104,663;28886;3023298;278;
2017-07-05;105,25;105,75;104,50;106,25;103,75;105,50;104,733;16554;1733756;237;
2017-07-04;104,00;104,50;106,75;106,75;103,50;104,50;105,157;13942;1466095;268;
