sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-11-07;131,75;132,25;131,75;133,00;131,00;132,00;132,112;12680;1675182,75;240;
2017-11-06;132,00;132,50;133,25;135,50;131,00;131,75;133,275;26085;3476466,5;370;
2017-11-03;133,25;133,75;132,75;134,75;132,50;133,25;133,766;8419;1126176,5;169;
2017-11-02;132,50;133,00;133,75;136,00;132,00;132,50;133,784;24662;3299372;267;
2017-11-01;133,25;134,25;132,50;136,75;132,50;133,25;134,936;37062;5001149,75;357;
2017-10-31;132,25;133,00;131,00;133,50;129,25;132,50;130,722;40537;5299390,25;468;
2017-10-30;131,25;131,50;131,25;131,75;130,50;131,25;131,316;18228;2393624;271;
2017-10-27;131,50;132,00;131,50;132,75;131,00;131,75;131,764;17651;2325760,25;286;
2017-10-26;131,50;132,00;132,00;133,00;130,00;131,50;130,968;48545;6357857,25;390;
2017-10-25;132,00;132,25;132,75;133,00;130,75;132,25;132,051;24344;3214649,75;289;
2017-10-24;133,00;133,50;135,00;135,25;132,75;132,75;133,929;19985;2676564;238;
2017-10-23;135,50;135,75;136,50;137,00;135,25;135,50;136,118;9886;1345662,25;181;
2017-10-20;136,50;136,75;135,75;137,00;135,75;136,50;136,544;22221;3034141,75;167;
2017-10-19;135,50;135,75;134,75;137,25;134,50;135,75;135,421;23359;3163291,5;214;
2017-10-18;134,25;134,50;133,50;135,00;133,50;134,50;134,276;31267;4198418,75;216;
2017-10-17;134,00;134,25;135,50;135,75;133,25;134,50;134,422;19001;2554158;227;
2017-10-16;135,00;135,50;137,25;138,00;134,75;134,75;136,027;19249;2618375;284;
2017-10-13;136,50;137,25;137,00;137,50;136,00;137,25;136,844;11348;1552903,25;208;
2017-10-12;136,75;137,00;137,75;138,50;136,50;136,75;137,426;17889;2458416,75;242;
2017-10-11;138,25;138,50;137,25;138,50;136,25;138,00;137,416;24604;3380991,5;275;
2017-10-10;137,25;137,50;141,25;141,25;135,50;137,00;137,455;48016;6600027,5;521;
2017-10-09;141,50;141,75;137,75;142,50;137,75;141,25;141,12;29568;4172627,25;307;
2017-10-06;138,00;138,50;137,25;138,75;137,00;138,25;137,853;33233;4581258;338;
2017-10-05;136,75;137,25;136,50;137,25;136,00;137,00;136,814;17478;2391241;225;
2017-10-04;136,50;137,00;136,50;137,25;135,75;136,50;136,418;12048;1643569,25;187;
2017-10-03;136,00;136,75;136,00;137,00;135,50;136,50;136,19;31466;4285341,75;282;
2017-10-02;135,50;136,00;136,00;137,50;135,50;136,00;136,462;24616;3359157;327;
2017-09-29;135,75;136,00;134,75;136,50;134,50;136,00;135,394;21634;2929829,88;280;
